,Night Thorn/Dried Flower Reset: 5 AM,,,,,,,,,,,,,
Harvest Dill,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,5,50,70,100,,,,,,
Harvest Button Mushrooms,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,5,50,70,100,,,,,,
Harvest Red Currants,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,5,50,70,100,,,,,,
Harvest Pincushion Peaches,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,5,50,70,100,,,,,,
Harvest Bonsai Star Fruit,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,5,50,70,100,,,,,,
Remove Dead Wishblossoms,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,20,10,230,200,,,,,,
Harvest Vegatabes from the Wishblossom Mountains,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,35,100,400,200,,,,,,
Plant Vegetables in the Wishblossom Mountains,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,25,10,350,200,,,,,,
Buy Seeds in Wishblossom Mountains,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,4,100,50,200,160,300,285,400,,
Mine Silver Ore,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Mine Pyrite,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Mine Antique Iron Clothes,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Mine Japer,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Mine Honeycomb Stone,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Mine Grassy Ore,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,100,10,200,30,300,,400,,500
Sell Fish from the Wishblossom Mountains,Fishing,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,4,100,,,,,,,,
Sell Fruit from the Wishblossom Mountains,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,20,100,,,,,,,,
Sell Gems from the Wishblossom Mountains,Mining,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,4,100,,,,,,,,
Sell Vegetables from the Wishblossom Mountains,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,10,100,120,200,380,300,,,,
Gain 500 Star Coins,Daily,Wishblossom Mountains,Dreamlight,☆,500,250,,,,,,,,
Plant 5 Vegetables,Daily,Wishblossom Mountains,Dreamlight,☆,5,150,,,,,,,,
Harvest 3 Spices,Daily,Wishblossom Mountains,Dreamlight,☆,3,100,,,,,,,,
Mine 2 Minerals,Daily,Wishblossom Mountains,Dreamlight,☆,2,150,,,,,,,,
Prepare a 1-Star Meal or Better,Daily,Wishblossom Mountains,Dreamlight,☆,1,50,,,,,,,,
Change Outfit,Daily,Wishblossom Mountains,Dreamlight,☆,1,50,,,,,,,,
Bring a Friend their favorite Gift,Daily,Wishblossom Mountains,Dreamlight,☆,1,250,,,,,,,,
Take a Picture with a Companion,Daily,Wishblossom Mountains,Dreamlight,☆,1,50,,,,,,,,
Feed a Critter,Daily,Wishblossom Mountains,Dreamlight,☆,1,200,,,,,,,,
Harvest 5 Vegetables,Daily,Wishblossom Mountains,Dreamlight,☆,5,100,,,,,,,,
Catch 3 Seafood,Daily,Wishblossom Mountains,Dreamlight,☆,3,150,,,,,,,,
Prepare a 3-Star Meal or Better,Daily,Wishblossom Mountains,Dreamlight,☆,1,150,,,,,,,,
Pet a Companion,Daily,Wishblossom Mountains,Dreamlight,☆,1,100,,,,,,,,
Bring 2 Gifts,Daily,Wishblossom Mountains,Dreamlight,☆,2,150,,,,,,,,
Gain 500 Star Coins,Daily,Wishblossom Mountains,Dreamlight,☆,500,250,,,,,,,,
,,,Dreamlight,☆,,,,,,,,,,
,,,Dreamlight,☆,,,,,,,,,,
,,,Dreamlight,☆,,,,,,,,,,
,,,Dreamlight,☆,,,,,,,,,,
,,,Dreamlight,☆,,,,,,,,,,
,,,Dreamlight,,,,,,,,,,,
